Indnum,Household heating < 70F,Household heating => 70F,Small kitchen appliance in the home,TV/computer use,Use of air conditioner,Use of heat pump,air travel - large plane,air travel - small  plane (<50 seats),bags of compost deposited (negative CF),bags of garbage disposed,bags of recycling deposited (negative CF),bath,car trips - 2+ people with multiple end points,car trips - driver and self,car trips- self only,hazardous or electric items disposed,large items disposed,shower - long (> 3 min),shower - short,trips using public ground transportation,use of  oven,use of clothes dryer,use of clothes washer,use of cooking range,use of dishwasher,use of self-clean feature of electric oven,wash-up
18,76.0,71.0,,28.0,53.0,54.0,50.0,,15.0,46.0,,18.0,,23.0,47.0,,19.0,82.0,89.0,58.0,40.0,12.0,43.0,,19.0,15.0,28.0
19,86.0,92.0,,30.0,43.0,40.0,43.0,,,44.0,,16.0,,26.0,54.0,,20.0,82.0,83.0,54.0,33.0,16.0,38.0,,23.0,21.0,24.0
20,63.0,86.0,,21.0,48.0,45.0,47.0,,,48.0,,14.0,,28.0,53.0,,18.0,87.0,91.0,51.0,35.0,15.0,30.0,,20.0,21.0,24.0
21,90.0,80.0,,21.0,57.0,53.0,45.0,,,44.0,,16.0,,31.0,51.0,,12.0,79.0,97.0,62.0,40.0,14.0,34.0,,25.0,14.0,39.0
22,65.0,90.0,,28.0,41.0,53.0,43.0,,18.0,46.0,,9.0,,32.0,46.0,,20.0,88.0,91.0,58.0,40.0,12.0,41.0,,24.0,19.0,34.0
23,79.0,79.0,,27.0,57.0,40.0,44.0,,18.0,43.0,,12.0,,40.0,42.0,,12.0,80.0,83.0,53.0,41.0,13.0,37.0,,21.0,13.0,34.0
24,61.0,77.0,,30.0,52.0,50.0,51.0,,,43.0,,15.0,,24.0,55.0,,16.0,77.0,92.0,53.0,39.0,20.0,42.0,,22.0,14.0,24.0
25,80.0,66.0,,30.0,49.0,52.0,50.0,,,46.0,,18.0,,33.0,59.0,,17.0,73.0,96.0,55.0,32.0,12.0,35.0,,23.0,15.0,39.0
26,81.0,80.0,,31.0,56.0,49.0,51.0,,,51.0,,12.0,,25.0,56.0,,16.0,84.0,86.0,48.0,40.0,16.0,32.0,,21.0,17.0,27.0
27,61.0,85.0,,27.0,46.0,48.0,43.0,31.0,18.0,46.0,,10.0,,19.0,58.0,,15.0,72.0,91.0,46.0,32.0,11.0,31.0,,21.0,18.0,38.0
28,64.0,75.0,,25.0,38.0,48.0,49.0,,4.0,51.0,,14.0,,24.0,53.0,,17.0,72.0,85.0,55.0,37.0,11.0,35.0,,24.0,18.0,29.0
29,62.0,91.0,,29.0,46.0,48.0,47.0,,,50.0,,11.0,,35.0,60.0,,13.0,82.0,91.0,59.0,33.0,19.0,47.0,,22.0,15.0,26.0
30,72.0,88.0,,27.0,41.0,43.0,51.0,,,45.0,,21.0,,23.0,53.0,,14.0,88.0,96.0,57.0,31.0,14.0,29.0,,22.0,21.0,41.0
31,84.0,60.0,,23.0,49.0,53.0,49.0,,,47.0,,21.0,,32.0,49.0,,16.0,81.0,88.0,55.0,34.0,21.0,35.0,,22.0,13.0,25.0
32,91.0,70.0,,24.0,53.0,42.0,49.0,23.0,,51.0,,13.0,,19.0,61.0,,15.0,73.0,97.0,56.0,31.0,17.0,32.0,,25.0,16.0,35.0
33,84.0,79.0,,27.0,41.0,49.0,47.0,,13.0,50.0,,17.0,,38.0,61.0,,18.0,77.0,83.0,53.0,36.0,11.0,29.0,,25.0,17.0,28.0
34,77.0,87.0,,30.0,55.0,41.0,42.0,,,50.0,,11.0,,28.0,56.0,,19.0,72.0,92.0,52.0,31.0,16.0,32.0,,19.0,12.0,43.0
35,65.0,93.0,,26.0,45.0,53.0,42.0,,,43.0,,15.0,,27.0,49.0,,15.0,75.0,92.0,58.0,39.0,21.0,29.0,,24.0,18.0,41.0
36,65.0,81.0,,21.0,49.0,51.0,43.0,,,42.0,,12.0,,24.0,61.0,,16.0,92.0,90.0,58.0,32.0,15.0,48.0,,25.0,20.0,24.0
37,81.0,65.0,,29.0,42.0,47.0,41.0,,15.0,50.0,,14.0,,37.0,61.0,,13.0,77.0,94.0,58.0,33.0,14.0,46.0,,25.0,20.0,34.0
38,70.0,61.0,,23.0,48.0,50.0,51.0,,,45.0,,12.0,,40.0,43.0,,17.0,73.0,87.0,56.0,39.0,13.0,27.0,,21.0,18.0,33.0
39,60.0,65.0,,31.0,45.0,49.0,47.0,,9.0,45.0,,13.0,,33.0,60.0,,14.0,90.0,93.0,48.0,38.0,21.0,48.0,,20.0,17.0,28.0
40,84.0,86.0,,22.0,51.0,49.0,46.0,,9.0,45.0,,9.0,,37.0,53.0,,19.0,78.0,95.0,48.0,32.0,14.0,40.0,,22.0,18.0,33.0
41,87.0,90.0,,24.0,48.0,49.0,45.0,,,43.0,,21.0,,19.0,45.0,,12.0,84.0,96.0,43.0,37.0,18.0,28.0,,24.0,12.0,42.0
42,89.0,75.0,,28.0,38.0,48.0,50.0,,,51.0,,16.0,,33.0,49.0,,16.0,90.0,83.0,43.0,36.0,12.0,41.0,,24.0,17.0,36.0
43,66.0,66.0,,29.0,54.0,52.0,41.0,,,49.0,,9.0,,39.0,48.0,,16.0,75.0,91.0,58.0,38.0,20.0,38.0,,23.0,20.0,24.0
44,75.0,65.0,,25.0,42.0,49.0,44.0,,,50.0,,14.0,,19.0,44.0,,16.0,78.0,94.0,56.0,38.0,18.0,45.0,,21.0,12.0,24.0
45,72.0,84.0,,26.0,39.0,43.0,51.0,,,44.0,,15.0,,34.0,42.0,,17.0,85.0,94.0,62.0,33.0,14.0,41.0,,20.0,19.0,40.0
46,84.0,67.0,,26.0,53.0,43.0,44.0,,,51.0,,12.0,,37.0,49.0,,20.0,78.0,90.0,42.0,32.0,15.0,37.0,,20.0,21.0,42.0
47,87.0,88.0,,24.0,42.0,53.0,50.0,,,41.0,,21.0,,33.0,52.0,,16.0,89.0,92.0,54.0,38.0,21.0,40.0,,22.0,15.0,44.0
48,68.0,71.0,,31.0,48.0,46.0,50.0,,,50.0,,22.0,,34.0,60.0,,18.0,73.0,92.0,48.0,31.0,21.0,27.0,,19.0,21.0,40.0
49,88.0,79.0,,30.0,50.0,51.0,49.0,,,51.0,,16.0,,26.0,44.0,,13.0,91.0,89.0,51.0,32.0,16.0,27.0,,22.0,19.0,36.0
50,87.0,69.0,,22.0,58.0,55.0,45.0,,,41.0,,9.0,,37.0,62.0,,13.0,89.0,92.0,52.0,40.0,20.0,32.0,,21.0,17.0,30.0
51,89.0,61.0,,28.0,44.0,41.0,47.0,,13.0,41.0,,22.0,,23.0,54.0,,16.0,81.0,94.0,46.0,31.0,12.0,39.0,,19.0,21.0,29.0
52,85.0,63.0,,24.0,40.0,52.0,48.0,34.0,9.0,48.0,,15.0,,21.0,57.0,,13.0,81.0,93.0,47.0,32.0,20.0,48.0,,20.0,19.0,29.0
53,84.0,74.0,,31.0,48.0,51.0,48.0,,,51.0,,22.0,,23.0,53.0,,16.0,88.0,89.0,55.0,32.0,18.0,36.0,,22.0,12.0,30.0
54,81.0,60.0,,25.0,47.0,42.0,48.0,,,50.0,,9.0,,21.0,57.0,,17.0,83.0,82.0,58.0,34.0,18.0,44.0,,19.0,12.0,38.0
55,64.0,85.0,,29.0,43.0,51.0,41.0,,,50.0,,12.0,,35.0,48.0,,16.0,80.0,95.0,47.0,39.0,14.0,36.0,,23.0,18.0,44.0
56,77.0,91.0,,26.0,53.0,55.0,45.0,,,43.0,,19.0,,19.0,47.0,,19.0,81.0,97.0,61.0,34.0,17.0,29.0,,20.0,16.0,35.0
57,81.0,67.0,,23.0,54.0,43.0,51.0,,,48.0,,21.0,,30.0,57.0,,18.0,91.0,91.0,46.0,32.0,16.0,46.0,,21.0,15.0,42.0
58,76.0,79.0,,27.0,58.0,47.0,51.0,,11.0,43.0,,11.0,,19.0,59.0,,18.0,78.0,86.0,55.0,34.0,14.0,40.0,,22.0,11.0,33.0
59,85.0,80.0,,23.0,52.0,46.0,50.0,,,44.0,,22.0,,32.0,52.0,,12.0,79.0,95.0,54.0,32.0,18.0,44.0,,23.0,13.0,34.0
60,73.0,71.0,,21.0,58.0,50.0,43.0,,,51.0,,12.0,,30.0,53.0,,16.0,72.0,97.0,49.0,41.0,13.0,33.0,,20.0,18.0,42.0
61,80.0,75.0,,25.0,39.0,51.0,47.0,,,41.0,,22.0,,40.0,62.0,,18.0,84.0,92.0,50.0,36.0,19.0,32.0,,25.0,14.0,27.0
62,92.0,69.0,,26.0,38.0,40.0,49.0,,,46.0,14.0,14.0,,25.0,56.0,,20.0,76.0,86.0,59.0,32.0,14.0,47.0,,25.0,13.0,34.0
63,60.0,78.0,,26.0,48.0,52.0,41.0,,15.0,51.0,,21.0,,31.0,46.0,,17.0,79.0,87.0,58.0,40.0,12.0,39.0,,25.0,20.0,27.0
64,84.0,67.0,,27.0,55.0,50.0,41.0,,,45.0,,15.0,,38.0,61.0,,18.0,86.0,83.0,54.0,36.0,14.0,40.0,,24.0,12.0,40.0
65,85.0,75.0,,31.0,52.0,47.0,43.0,,,45.0,,11.0,,38.0,45.0,,20.0,84.0,98.0,51.0,41.0,12.0,31.0,,19.0,20.0,29.0
66,67.0,79.0,,21.0,38.0,52.0,46.0,,6.0,44.0,,17.0,,21.0,61.0,,20.0,91.0,82.0,56.0,39.0,19.0,46.0,,24.0,21.0,27.0
67,76.0,89.0,,27.0,46.0,49.0,44.0,,,49.0,,21.0,,28.0,59.0,,16.0,74.0,82.0,44.0,36.0,21.0,37.0,,25.0,20.0,27.0
68,78.0,86.0,,22.0,44.0,45.0,46.0,,,42.0,,15.0,,24.0,50.0,,14.0,78.0,83.0,48.0,33.0,20.0,37.0,,22.0,16.0,32.0
69,71.0,93.0,,23.0,45.0,47.0,46.0,,,47.0,,19.0,,23.0,46.0,,18.0,92.0,86.0,46.0,40.0,18.0,40.0,,19.0,21.0,30.0
70,70.0,74.0,,31.0,53.0,50.0,44.0,,,50.0,,19.0,,21.0,58.0,,19.0,75.0,93.0,46.0,38.0,17.0,29.0,,21.0,21.0,37.0
71,65.0,71.0,,28.0,40.0,53.0,44.0,,,42.0,,14.0,,25.0,47.0,,13.0,78.0,85.0,60.0,33.0,13.0,48.0,,19.0,13.0,36.0
72,70.0,79.0,,28.0,41.0,52.0,41.0,,,43.0,,22.0,,25.0,57.0,,18.0,72.0,89.0,50.0,33.0,19.0,27.0,,20.0,12.0,44.0
73,63.0,85.0,,31.0,41.0,50.0,48.0,,4.0,48.0,,19.0,,23.0,42.0,,15.0,76.0,90.0,49.0,39.0,11.0,32.0,,23.0,17.0,35.0
74,65.0,65.0,,27.0,48.0,43.0,51.0,,11.0,51.0,,15.0,,25.0,55.0,,20.0,83.0,97.0,58.0,40.0,17.0,37.0,,23.0,17.0,40.0
75,89.0,79.0,,31.0,50.0,49.0,50.0,,,48.0,,12.0,,37.0,42.0,,15.0,85.0,93.0,45.0,31.0,15.0,45.0,,20.0,11.0,42.0
76,89.0,69.0,,25.0,48.0,43.0,46.0,,,45.0,,21.0,,23.0,59.0,,19.0,83.0,93.0,57.0,41.0,20.0,40.0,,23.0,13.0,40.0
77,83.0,80.0,,21.0,42.0,47.0,50.0,,18.0,43.0,,13.0,,29.0,58.0,,15.0,91.0,92.0,52.0,37.0,18.0,30.0,,25.0,21.0,32.0
78,62.0,92.0,,25.0,44.0,51.0,51.0,,,46.0,,12.0,,35.0,49.0,,14.0,74.0,94.0,46.0,35.0,14.0,36.0,,20.0,19.0,24.0
79,60.0,71.0,,25.0,40.0,44.0,42.0,,,49.0,,16.0,,29.0,57.0,,20.0,75.0,84.0,62.0,35.0,15.0,28.0,,24.0,18.0,27.0
80,62.0,81.0,,22.0,39.0,53.0,51.0,,,51.0,,14.0,,33.0,42.0,,16.0,72.0,85.0,60.0,40.0,20.0,31.0,,23.0,21.0,25.0
81,62.0,85.0,,24.0,48.0,48.0,51.0,,,47.0,,21.0,,26.0,54.0,,13.0,77.0,94.0,56.0,39.0,19.0,47.0,,24.0,21.0,41.0
82,62.0,73.0,,21.0,41.0,46.0,46.0,,13.0,51.0,,19.0,,33.0,46.0,,17.0,87.0,83.0,51.0,39.0,12.0,31.0,,20.0,12.0,39.0
83,63.0,63.0,,29.0,49.0,49.0,46.0,,,41.0,,16.0,,40.0,47.0,,16.0,82.0,89.0,61.0,31.0,18.0,29.0,,21.0,13.0,44.0
84,64.0,79.0,,21.0,52.0,54.0,51.0,,,47.0,,18.0,,31.0,44.0,,18.0,72.0,85.0,56.0,33.0,16.0,48.0,,20.0,16.0,31.0
85,88.0,76.0,,27.0,43.0,42.0,42.0,,,51.0,,20.0,,37.0,49.0,,17.0,85.0,98.0,45.0,32.0,16.0,41.0,,19.0,21.0,30.0
86,82.0,91.0,,30.0,58.0,55.0,51.0,,,41.0,,15.0,,21.0,56.0,,13.0,87.0,90.0,50.0,33.0,12.0,29.0,,24.0,21.0,35.0
87,91.0,88.0,,30.0,53.0,47.0,47.0,,,46.0,,14.0,,37.0,54.0,,18.0,77.0,95.0,53.0,33.0,11.0,33.0,,23.0,14.0,26.0
88,88.0,88.0,,27.0,50.0,44.0,41.0,,,50.0,,14.0,,39.0,56.0,,20.0,81.0,94.0,50.0,36.0,20.0,37.0,,25.0,13.0,33.0
89,81.0,90.0,,30.0,46.0,43.0,46.0,,,45.0,,21.0,,39.0,59.0,,16.0,82.0,91.0,50.0,36.0,14.0,41.0,,22.0,14.0,36.0
90,87.0,86.0,,23.0,43.0,42.0,49.0,,,44.0,8.0,14.0,,38.0,51.0,,14.0,89.0,95.0,49.0,38.0,20.0,40.0,,24.0,21.0,36.0
91,73.0,61.0,,31.0,40.0,43.0,51.0,,,51.0,,16.0,,28.0,52.0,,16.0,90.0,91.0,60.0,33.0,16.0,39.0,,19.0,11.0,28.0
92,92.0,89.0,,21.0,43.0,43.0,46.0,,,43.0,,18.0,,30.0,46.0,,17.0,85.0,91.0,51.0,33.0,12.0,37.0,,23.0,12.0,24.0
93,72.0,62.0,,25.0,39.0,41.0,48.0,,,47.0,,15.0,,21.0,47.0,,13.0,84.0,83.0,55.0,37.0,20.0,31.0,,24.0,13.0,24.0
94,67.0,67.0,,21.0,41.0,53.0,42.0,,,48.0,,9.0,,24.0,60.0,,17.0,85.0,85.0,45.0,35.0,20.0,38.0,,19.0,18.0,25.0
95,66.0,74.0,,26.0,52.0,49.0,41.0,,,51.0,,14.0,,26.0,60.0,,12.0,79.0,94.0,54.0,32.0,20.0,31.0,,25.0,17.0,37.0
96,74.0,74.0,,26.0,38.0,55.0,45.0,,6.0,47.0,,20.0,,39.0,42.0,,13.0,85.0,93.0,56.0,35.0,16.0,31.0,,22.0,18.0,42.0
97,87.0,72.0,,23.0,57.0,40.0,48.0,,,41.0,,21.0,,36.0,54.0,,17.0,83.0,95.0,61.0,36.0,15.0,45.0,,25.0,14.0,44.0
98,74.0,90.0,,21.0,42.0,49.0,45.0,,18.0,48.0,,12.0,,37.0,44.0,,12.0,81.0,85.0,42.0,35.0,18.0,44.0,,23.0,12.0,38.0
99,77.0,71.0,,21.0,51.0,40.0,45.0,,6.0,51.0,,16.0,,21.0,49.0,,18.0,82.0,86.0,56.0,31.0,20.0,45.0,,20.0,13.0,33.0
100,88.0,63.0,,22.0,53.0,43.0,46.0,24.0,,50.0,,11.0,,23.0,43.0,,14.0,75.0,91.0,59.0,40.0,11.0,44.0,,25.0,12.0,42.0
101,88.0,70.0,,23.0,51.0,46.0,44.0,,,43.0,,16.0,,30.0,52.0,,12.0,82.0,86.0,61.0,35.0,16.0,44.0,,19.0,11.0,29.0
102,75.0,73.0,,25.0,44.0,44.0,43.0,,,42.0,,12.0,,32.0,47.0,,20.0,92.0,96.0,56.0,31.0,19.0,33.0,,24.0,13.0,29.0
103,69.0,74.0,,23.0,54.0,49.0,46.0,,,44.0,,22.0,,19.0,45.0,,18.0,89.0,85.0,61.0,36.0,13.0,27.0,,25.0,18.0,44.0
104,70.0,62.0,,29.0,41.0,45.0,45.0,30.0,,47.0,,17.0,,25.0,57.0,,14.0,82.0,96.0,59.0,31.0,21.0,48.0,,23.0,16.0,43.0
105,89.0,81.0,,22.0,40.0,45.0,42.0,,,43.0,,16.0,,19.0,50.0,,12.0,88.0,92.0,48.0,32.0,14.0,33.0,,20.0,15.0,44.0
106,72.0,62.0,,28.0,49.0,40.0,43.0,,15.0,41.0,,13.0,,26.0,48.0,,14.0,83.0,91.0,58.0,39.0,21.0,34.0,,19.0,15.0,42.0
107,61.0,80.0,,22.0,46.0,42.0,47.0,,,47.0,,13.0,,34.0,61.0,,16.0,82.0,86.0,42.0,31.0,12.0,28.0,,19.0,14.0,33.0
108,67.0,79.0,,26.0,50.0,40.0,42.0,,,41.0,,9.0,,27.0,59.0,,12.0,76.0,94.0,45.0,41.0,15.0,34.0,,24.0,13.0,26.0
109,70.0,68.0,,22.0,39.0,45.0,48.0,,,45.0,,14.0,,34.0,52.0,,13.0,86.0,96.0,44.0,39.0,14.0,28.0,,21.0,18.0,30.0
110,68.0,87.0,,26.0,38.0,52.0,46.0,,,50.0,14.0,15.0,,29.0,59.0,,12.0,90.0,84.0,44.0,31.0,16.0,44.0,,22.0,18.0,34.0
111,80.0,87.0,,29.0,55.0,44.0,44.0,,,50.0,,19.0,,33.0,57.0,,19.0,92.0,84.0,44.0,32.0,18.0,39.0,,24.0,11.0,27.0
112,88.0,83.0,,21.0,43.0,43.0,43.0,,,44.0,,16.0,,22.0,54.0,,13.0,72.0,94.0,44.0,35.0,11.0,46.0,,22.0,18.0,40.0
113,73.0,90.0,,31.0,57.0,45.0,42.0,,,44.0,,17.0,,29.0,55.0,,14.0,90.0,83.0,51.0,41.0,20.0,44.0,,22.0,20.0,36.0
114,93.0,78.0,,24.0,55.0,43.0,49.0,,,51.0,,14.0,,26.0,59.0,,17.0,85.0,92.0,62.0,39.0,20.0,28.0,,23.0,21.0,39.0
115,67.0,87.0,,30.0,51.0,40.0,49.0,,,46.0,,12.0,,33.0,55.0,,14.0,85.0,87.0,56.0,37.0,13.0,38.0,,22.0,20.0,37.0
116,61.0,70.0,,23.0,52.0,44.0,50.0,,,44.0,,22.0,,39.0,47.0,,17.0,76.0,85.0,59.0,38.0,15.0,36.0,,23.0,16.0,44.0
117,89.0,62.0,,31.0,52.0,41.0,47.0,,,46.0,,17.0,,24.0,45.0,,14.0,77.0,88.0,55.0,36.0,16.0,30.0,,22.0,20.0,40.0
118,70.0,70.0,,22.0,57.0,47.0,48.0,,,43.0,,16.0,,33.0,45.0,,12.0,86.0,83.0,53.0,31.0,21.0,47.0,,20.0,19.0,33.0
119,82.0,74.0,,28.0,41.0,44.0,51.0,,,43.0,,12.0,,27.0,49.0,,20.0,77.0,84.0,48.0,31.0,19.0,46.0,,25.0,14.0,41.0
120,62.0,89.0,,28.0,44.0,45.0,51.0,,,49.0,,9.0,,35.0,51.0,,16.0,90.0,84.0,50.0,40.0,21.0,31.0,,20.0,19.0,30.0
121,84.0,77.0,,29.0,46.0,55.0,50.0,,,44.0,,21.0,,28.0,56.0,,12.0,86.0,83.0,58.0,37.0,11.0,48.0,,20.0,20.0,28.0
122,88.0,73.0,,25.0,49.0,55.0,41.0,,,44.0,,9.0,,32.0,46.0,,13.0,79.0,87.0,44.0,37.0,15.0,37.0,,22.0,18.0,43.0
123,66.0,90.0,,21.0,42.0,49.0,50.0,,,48.0,,18.0,,22.0,43.0,,13.0,84.0,98.0,43.0,33.0,17.0,42.0,,22.0,15.0,26.0
124,91.0,68.0,,21.0,55.0,51.0,42.0,,,48.0,,10.0,,32.0,52.0,,19.0,84.0,84.0,57.0,33.0,12.0,30.0,,25.0,13.0,38.0
125,72.0,62.0,,25.0,50.0,44.0,42.0,,,51.0,,9.0,,36.0,43.0,,14.0,85.0,91.0,48.0,35.0,14.0,38.0,,24.0,14.0,36.0
126,60.0,69.0,,24.0,54.0,48.0,51.0,,,47.0,,19.0,,25.0,42.0,,16.0,81.0,83.0,58.0,31.0,15.0,42.0,,25.0,15.0,33.0
127,88.0,81.0,,26.0,46.0,48.0,45.0,,,45.0,,21.0,,23.0,61.0,,14.0,79.0,94.0,58.0,33.0,13.0,47.0,,23.0,11.0,28.0
128,71.0,65.0,,22.0,43.0,49.0,44.0,,,44.0,,12.0,,32.0,54.0,,16.0,76.0,84.0,55.0,34.0,12.0,42.0,,23.0,13.0,26.0
129,75.0,63.0,,28.0,47.0,41.0,45.0,,,50.0,,9.0,,32.0,42.0,,14.0,84.0,88.0,45.0,38.0,19.0,41.0,,23.0,12.0,38.0
130,81.0,84.0,,24.0,55.0,53.0,43.0,,,45.0,,11.0,,23.0,51.0,,12.0,82.0,88.0,59.0,33.0,13.0,40.0,,23.0,18.0,27.0
131,76.0,71.0,,23.0,39.0,42.0,41.0,,,43.0,,21.0,,40.0,44.0,,12.0,77.0,83.0,46.0,38.0,14.0,27.0,,21.0,18.0,27.0
132,75.0,79.0,,22.0,52.0,47.0,48.0,,4.0,50.0,,9.0,,20.0,43.0,,17.0,83.0,91.0,57.0,32.0,14.0,35.0,,25.0,16.0,25.0
133,88.0,72.0,,29.0,47.0,40.0,51.0,,,50.0,,19.0,,21.0,48.0,,14.0,82.0,96.0,61.0,36.0,17.0,30.0,,19.0,11.0,34.0
134,89.0,85.0,,22.0,48.0,42.0,41.0,,,43.0,,9.0,,19.0,54.0,,19.0,73.0,90.0,62.0,31.0,20.0,46.0,,20.0,15.0,43.0
135,76.0,77.0,,25.0,58.0,55.0,49.0,,,44.0,,14.0,,29.0,58.0,,20.0,72.0,98.0,42.0,32.0,14.0,45.0,,19.0,17.0,36.0
136,61.0,62.0,,24.0,55.0,53.0,43.0,,,50.0,,22.0,,25.0,48.0,,18.0,78.0,89.0,45.0,31.0,21.0,27.0,,21.0,12.0,28.0
137,69.0,90.0,,29.0,55.0,50.0,41.0,,,44.0,,20.0,,34.0,49.0,,14.0,75.0,89.0,51.0,33.0,12.0,41.0,,23.0,17.0,39.0
138,80.0,92.0,,23.0,40.0,43.0,41.0,,,48.0,,20.0,,21.0,50.0,,15.0,77.0,96.0,57.0,34.0,15.0,32.0,,22.0,15.0,43.0
139,82.0,70.0,,23.0,50.0,54.0,41.0,,,45.0,,20.0,,32.0,50.0,,13.0,79.0,90.0,60.0,36.0,15.0,40.0,,19.0,19.0,44.0
140,63.0,61.0,,29.0,53.0,45.0,44.0,,,49.0,,22.0,,24.0,53.0,,15.0,83.0,88.0,44.0,35.0,16.0,34.0,,23.0,15.0,41.0
141,66.0,75.0,,26.0,50.0,48.0,42.0,,,41.0,,15.0,,31.0,48.0,,12.0,74.0,89.0,59.0,33.0,16.0,41.0,,24.0,18.0,38.0
142,72.0,64.0,,21.0,47.0,41.0,49.0,,,50.0,,13.0,,31.0,54.0,,14.0,89.0,87.0,43.0,38.0,18.0,28.0,,23.0,17.0,42.0
143,90.0,69.0,,26.0,46.0,43.0,50.0,,,49.0,,17.0,,39.0,58.0,,16.0,78.0,85.0,45.0,32.0,15.0,31.0,,24.0,19.0,26.0
144,83.0,83.0,,23.0,58.0,41.0,47.0,,,51.0,,12.0,,29.0,56.0,,16.0,81.0,98.0,56.0,33.0,20.0,39.0,,23.0,18.0,42.0
145,77.0,92.0,,27.0,44.0,54.0,50.0,,,46.0,,10.0,,40.0,56.0,,16.0,91.0,98.0,47.0,39.0,12.0,37.0,,19.0,13.0,34.0
146,93.0,70.0,,29.0,50.0,48.0,45.0,,,49.0,,14.0,,37.0,47.0,,20.0,78.0,86.0,44.0,39.0,15.0,29.0,,20.0,20.0,35.0
147,88.0,77.0,,28.0,55.0,46.0,44.0,20.0,,45.0,,12.0,,32.0,43.0,,17.0,81.0,89.0,45.0,34.0,21.0,28.0,,24.0,11.0,34.0
148,90.0,73.0,,24.0,54.0,42.0,50.0,30.0,,45.0,,12.0,,23.0,60.0,,20.0,90.0,91.0,51.0,31.0,13.0,32.0,,19.0,21.0,24.0
149,64.0,64.0,,28.0,50.0,43.0,48.0,,,44.0,,18.0,,30.0,43.0,,20.0,81.0,93.0,43.0,33.0,20.0,42.0,,21.0,11.0,34.0
150,83.0,82.0,,29.0,58.0,48.0,48.0,,4.0,51.0,,17.0,,32.0,61.0,,12.0,74.0,90.0,51.0,31.0,17.0,31.0,,23.0,21.0,35.0
