Indnum,Household heating < 70F,Household heating => 70F,Small kitchen appliance in the home,TV/computer use,Use of air conditioner,Use of heat pump,air travel - large plane,air travel - small  plane (<50 seats),bags of compost deposited (negative CF),bags of garbage disposed,bags of recycling deposited (negative CF),bath,car trips - 2+ people with multiple end points,car trips - driver and self,car trips- self only,hazardous or electric items disposed,large items disposed,shower - long (> 3 min),shower - short,trips using public ground transportation,use of  oven,use of clothes dryer,use of clothes washer,use of cooking range,use of dishwasher,use of self-clean feature of electric oven,wash-up
23,5.0,3.0,0.0,58.0,19.0,0.0,23.51,0.0,8.0,21.0,0.0,0.0,0.0,18.0,319.0,0.0,1.0,12.0,4.0,17.0,10.0,3.0,6.0,0.0,0.0,3.0,42.0
24,1.0,3.0,0.0,60.0,31.0,0.0,37.79,0.0,0.0,23.0,0.0,0.0,12.0,22.0,437.0,0.0,1.0,38.0,5.0,17.0,10.0,3.0,6.0,0.0,12.0,4.0,51.0
25,9.0,2.0,0.0,61.0,28.0,0.0,20.6,0.0,0.0,22.0,0.0,0.0,0.0,16.0,266.0,0.0,2.0,26.0,5.0,14.0,11.0,4.0,5.0,0.0,0.0,3.0,50.0
26,8.0,4.0,0.0,60.0,24.0,0.0,22.21,0.0,0.0,17.0,0.0,0.0,14.0,33.0,449.0,0.0,0.0,22.0,3.0,19.0,11.0,2.0,7.0,0.0,0.0,1.0,42.0
27,3.0,6.0,0.0,59.0,16.0,0.0,26.93,6.26,8.0,17.0,0.0,0.0,30.0,22.0,438.0,0.0,0.0,25.0,3.0,17.0,12.0,1.0,2.0,0.0,0.0,2.0,33.0
28,9.0,4.0,0.0,61.0,16.0,0.0,38.2,0.0,2.0,25.0,0.0,5.0,24.0,24.0,321.0,0.0,2.0,12.0,7.0,18.0,12.0,3.0,8.0,0.0,0.0,1.0,36.0
29,8.0,4.0,0.0,61.0,22.0,0.0,22.91,0.0,0.0,19.0,0.0,4.0,30.0,40.0,276.0,0.0,2.0,34.0,4.0,19.0,11.0,2.0,2.0,0.0,0.0,1.0,35.0
30,4.0,5.0,0.0,58.0,19.0,0.0,27.38,0.0,0.0,18.0,0.0,0.0,11.0,33.0,299.0,0.0,1.0,10.0,2.0,13.0,12.0,1.0,6.0,0.0,0.0,2.0,50.0
31,3.0,2.0,0.0,60.0,25.0,0.0,31.05,0.0,0.0,20.0,0.0,0.0,0.0,27.0,455.0,0.0,2.0,10.0,6.0,13.0,11.0,3.0,3.0,0.0,0.0,4.0,39.0
32,8.0,7.0,0.0,58.0,27.0,0.0,36.23,4.7,0.0,26.0,0.0,0.0,0.0,40.0,282.0,0.0,0.0,31.0,2.0,12.0,8.0,4.0,8.0,0.0,0.0,4.0,44.0
33,10.0,8.0,0.0,58.0,29.0,0.0,32.46,0.0,6.0,21.0,0.0,0.0,13.0,31.0,370.0,0.0,2.0,38.0,3.0,15.0,9.0,3.0,2.0,0.0,0.0,2.0,41.0
34,6.0,10.0,0.0,58.0,28.0,0.0,33.64,0.0,0.0,23.0,0.0,0.0,28.0,32.0,438.0,0.0,1.0,22.0,4.0,18.0,11.0,2.0,8.0,0.0,0.0,1.0,34.0
35,6.0,5.0,54.0,62.0,23.0,0.0,20.67,0.0,0.0,20.0,0.0,0.0,29.0,31.0,442.0,0.0,0.0,11.0,6.0,13.0,11.0,3.0,3.0,7.0,0.0,3.0,43.0
36,8.0,1.0,52.0,61.0,29.0,0.0,20.24,0.0,0.0,22.0,0.0,2.0,0.0,40.0,271.0,0.0,0.0,39.0,2.0,13.0,8.0,3.0,6.0,0.0,0.0,2.0,36.0
37,2.0,8.0,0.0,64.0,13.0,0.0,36.17,0.0,7.0,28.0,0.0,0.0,0.0,10.0,264.0,3.0,2.0,37.0,7.0,16.0,9.0,2.0,8.0,0.0,0.0,2.0,51.0
38,7.0,6.0,0.0,63.0,25.0,0.0,33.55,0.0,0.0,19.0,0.0,0.0,0.0,12.0,439.0,0.0,1.0,19.0,5.0,18.0,12.0,1.0,2.0,0.0,0.0,3.0,55.0
39,8.0,9.0,0.0,59.0,22.0,0.0,34.5,0.0,4.0,17.0,0.0,0.0,0.0,24.0,330.0,0.0,0.0,39.0,2.0,13.0,8.0,1.0,3.0,0.0,0.0,1.0,51.0
40,9.0,3.0,0.0,62.0,27.0,0.0,34.1,0.0,4.0,25.0,0.0,0.0,0.0,35.0,286.0,0.0,2.0,29.0,7.0,14.0,9.0,2.0,4.0,0.0,0.0,2.0,54.0
41,10.0,6.0,0.0,62.0,15.0,0.0,31.53,0.0,0.0,17.0,0.0,0.0,0.0,28.0,287.0,0.0,2.0,26.0,5.0,16.0,10.0,4.0,7.0,0.0,0.0,2.0,37.0
42,10.0,9.0,0.0,63.0,22.0,0.0,27.85,0.0,0.0,23.0,0.0,0.0,11.0,21.0,362.0,0.0,1.0,29.0,4.0,14.0,11.0,2.0,3.0,0.0,0.0,4.0,33.0
43,1.0,3.0,0.0,63.0,27.0,0.0,33.14,0.0,0.0,18.0,0.0,0.0,0.0,16.0,339.0,0.0,2.0,30.0,2.0,17.0,10.0,4.0,3.0,0.0,0.0,3.0,53.0
44,3.0,5.0,50.0,63.0,24.0,0.0,30.1,0.0,0.0,23.0,0.0,0.0,0.0,40.0,299.0,0.0,2.0,14.0,3.0,15.0,9.0,4.0,4.0,0.0,13.0,3.0,37.0
45,4.0,9.0,0.0,61.0,28.0,0.0,30.82,0.0,0.0,28.0,0.0,0.0,0.0,23.0,285.0,0.0,2.0,13.0,6.0,14.0,9.0,3.0,8.0,0.0,0.0,3.0,53.0
46,9.0,7.0,0.0,58.0,13.0,0.0,34.44,0.0,0.0,20.0,0.0,0.0,0.0,10.0,359.0,0.0,0.0,13.0,7.0,14.0,11.0,1.0,6.0,0.0,0.0,2.0,53.0
47,1.0,10.0,0.0,63.0,23.0,0.0,20.57,0.0,0.0,17.0,0.0,6.0,19.0,26.0,452.0,2.0,0.0,40.0,8.0,18.0,8.0,1.0,7.0,0.0,0.0,4.0,33.0
48,6.0,8.0,0.0,60.0,15.0,0.0,32.18,0.0,0.0,26.0,0.0,0.0,0.0,26.0,347.0,0.0,1.0,40.0,4.0,17.0,9.0,1.0,3.0,0.0,0.0,2.0,41.0
49,6.0,4.0,0.0,64.0,32.0,0.0,25.06,0.0,0.0,23.0,0.0,0.0,0.0,32.0,268.0,0.0,0.0,20.0,7.0,12.0,12.0,4.0,5.0,0.0,0.0,4.0,44.0
50,10.0,1.0,0.0,62.0,14.0,0.0,22.12,0.0,0.0,27.0,0.0,0.0,18.0,17.0,446.0,0.0,2.0,30.0,3.0,15.0,11.0,3.0,4.0,0.0,0.0,3.0,46.0
51,4.0,8.0,0.0,58.0,16.0,0.0,34.14,0.0,6.0,20.0,0.0,0.0,10.0,20.0,352.0,0.0,1.0,16.0,7.0,15.0,10.0,2.0,6.0,0.0,0.0,4.0,49.0
52,3.0,2.0,0.0,64.0,25.0,-1.0,37.94,6.85,4.0,18.0,0.0,0.0,0.0,29.0,410.0,0.0,1.0,20.0,2.0,14.0,11.0,1.0,4.0,0.0,0.0,1.0,43.0
53,3.0,10.0,0.0,60.0,24.0,0.0,23.04,0.0,0.0,19.0,0.0,0.0,0.0,23.0,334.0,0.0,0.0,18.0,7.0,18.0,11.0,4.0,4.0,0.0,0.0,2.0,51.0
54,9.0,8.0,0.0,61.0,19.0,0.0,36.21,0.0,0.0,22.0,0.0,0.0,0.0,21.0,262.0,0.0,1.0,35.0,7.0,19.0,8.0,1.0,3.0,0.0,0.0,2.0,35.0
55,3.0,5.0,0.0,59.0,16.0,0.0,36.63,0.0,0.0,21.0,0.0,0.0,0.0,16.0,381.0,0.0,0.0,16.0,4.0,16.0,12.0,2.0,2.0,0.0,0.0,4.0,50.0
56,3.0,2.0,61.0,63.0,12.0,0.0,32.17,0.0,0.0,22.0,0.0,0.0,19.0,25.0,334.0,0.0,0.0,18.0,3.0,19.0,10.0,1.0,5.0,0.0,0.0,4.0,47.0
57,6.0,6.0,0.0,62.0,26.0,0.0,21.11,0.0,0.0,17.0,0.0,0.0,24.0,16.0,354.0,0.0,0.0,26.0,3.0,12.0,10.0,1.0,5.0,0.0,0.0,4.0,51.0
58,6.0,9.0,0.0,61.0,32.0,0.0,28.99,0.0,5.0,18.0,0.0,0.0,0.0,40.0,330.0,0.0,2.0,35.0,7.0,12.0,12.0,2.0,5.0,0.0,0.0,1.0,55.0
59,8.0,9.0,0.0,64.0,13.0,0.0,33.61,0.0,0.0,24.0,0.0,0.0,0.0,16.0,383.0,0.0,1.0,25.0,6.0,12.0,9.0,1.0,3.0,0.0,0.0,2.0,55.0
60,8.0,9.0,60.0,63.0,16.0,0.0,31.01,0.0,0.0,21.0,0.0,0.0,12.0,14.0,425.0,0.0,0.0,26.0,8.0,19.0,11.0,1.0,2.0,0.0,0.0,4.0,52.0
61,1.0,7.0,0.0,61.0,23.0,0.0,32.43,0.0,0.0,18.0,0.0,0.0,28.0,27.0,424.0,0.0,0.0,21.0,4.0,15.0,12.0,1.0,4.0,0.0,0.0,3.0,33.0
62,10.0,7.0,0.0,59.0,19.0,-5.0,25.07,0.0,0.0,27.0,7.0,0.0,0.0,39.0,400.0,2.0,1.0,39.0,2.0,17.0,8.0,4.0,4.0,0.0,0.0,2.0,33.0
63,10.0,4.0,0.0,62.0,32.0,0.0,25.7,0.0,7.0,28.0,0.0,0.0,16.0,31.0,316.0,0.0,0.0,40.0,3.0,12.0,9.0,2.0,7.0,0.0,0.0,2.0,36.0
64,8.0,3.0,0.0,63.0,16.0,0.0,22.36,0.0,0.0,21.0,0.0,0.0,25.0,29.0,352.0,0.0,2.0,20.0,4.0,19.0,10.0,1.0,4.0,0.0,0.0,1.0,33.0
65,3.0,10.0,0.0,63.0,26.0,0.0,37.22,0.0,0.0,21.0,0.0,3.0,0.0,11.0,392.0,0.0,0.0,23.0,8.0,15.0,9.0,2.0,2.0,0.0,0.0,3.0,54.0
66,10.0,4.0,61.0,59.0,19.0,0.0,39.01,0.0,3.0,25.0,0.0,0.0,0.0,30.0,454.0,0.0,2.0,19.0,8.0,18.0,8.0,4.0,2.0,0.0,0.0,4.0,39.0
67,8.0,9.0,0.0,62.0,31.0,0.0,28.94,0.0,0.0,27.0,0.0,0.0,26.0,35.0,434.0,0.0,0.0,24.0,5.0,17.0,10.0,3.0,5.0,0.0,0.0,1.0,49.0
68,6.0,7.0,0.0,63.0,28.0,0.0,33.92,0.0,0.0,25.0,0.0,0.0,30.0,26.0,381.0,0.0,1.0,33.0,6.0,13.0,10.0,3.0,6.0,0.0,0.0,3.0,49.0
69,4.0,2.0,0.0,60.0,16.0,0.0,29.08,0.0,0.0,23.0,0.0,0.0,0.0,31.0,352.0,0.0,2.0,15.0,7.0,16.0,10.0,3.0,6.0,0.0,0.0,1.0,39.0
70,1.0,1.0,0.0,62.0,20.0,0.0,25.0,0.0,0.0,28.0,0.0,0.0,0.0,40.0,352.0,0.0,0.0,13.0,7.0,12.0,11.0,4.0,7.0,0.0,0.0,1.0,32.0
71,3.0,2.0,0.0,62.0,15.0,0.0,23.28,0.0,0.0,22.0,0.0,0.0,0.0,15.0,313.0,0.0,2.0,30.0,7.0,19.0,9.0,2.0,3.0,0.0,0.0,4.0,54.0
72,2.0,4.0,0.0,61.0,19.0,0.0,32.02,0.0,0.0,18.0,0.0,0.0,0.0,20.0,382.0,0.0,2.0,25.0,5.0,16.0,12.0,2.0,2.0,0.0,0.0,3.0,33.0
73,3.0,2.0,0.0,64.0,24.0,0.0,26.24,0.0,2.0,22.0,0.0,0.0,17.0,24.0,347.0,0.0,2.0,26.0,4.0,12.0,11.0,4.0,6.0,0.0,0.0,1.0,42.0
74,1.0,10.0,0.0,60.0,13.0,0.0,34.47,0.0,5.0,27.0,0.0,0.0,0.0,32.0,340.0,0.0,0.0,17.0,2.0,14.0,12.0,4.0,8.0,7.0,0.0,1.0,46.0
75,10.0,4.0,0.0,60.0,23.0,0.0,29.12,0.0,0.0,19.0,0.0,0.0,25.0,37.0,280.0,0.0,1.0,38.0,6.0,12.0,8.0,2.0,2.0,0.0,0.0,1.0,48.0
76,5.0,8.0,0.0,58.0,20.0,0.0,36.88,0.0,0.0,28.0,0.0,0.0,0.0,40.0,456.0,0.0,2.0,31.0,8.0,12.0,8.0,1.0,2.0,0.0,0.0,4.0,37.0
77,3.0,1.0,0.0,63.0,12.0,0.0,34.49,0.0,8.0,18.0,0.0,0.0,30.0,24.0,299.0,2.0,1.0,29.0,3.0,13.0,8.0,2.0,7.0,0.0,0.0,1.0,41.0
78,1.0,9.0,0.0,59.0,21.0,0.0,39.87,0.0,0.0,18.0,0.0,0.0,0.0,22.0,325.0,0.0,2.0,14.0,6.0,19.0,11.0,2.0,3.0,0.0,0.0,3.0,36.0
79,7.0,3.0,0.0,62.0,19.0,0.0,30.75,0.0,0.0,21.0,0.0,0.0,25.0,37.0,327.0,0.0,1.0,27.0,7.0,18.0,10.0,1.0,3.0,0.0,16.0,1.0,52.0
80,10.0,4.0,0.0,60.0,18.0,0.0,37.11,0.0,0.0,20.0,0.0,0.0,0.0,35.0,281.0,0.0,2.0,11.0,4.0,13.0,10.0,4.0,8.0,0.0,0.0,4.0,34.0
81,7.0,1.0,0.0,61.0,18.0,0.0,36.13,0.0,0.0,22.0,0.0,0.0,28.0,11.0,442.0,0.0,2.0,28.0,8.0,18.0,11.0,4.0,8.0,0.0,0.0,1.0,43.0
82,3.0,4.0,0.0,62.0,28.0,0.0,24.39,0.0,6.0,27.0,0.0,0.0,20.0,23.0,345.0,0.0,2.0,23.0,8.0,13.0,9.0,4.0,6.0,0.0,0.0,4.0,45.0
83,9.0,5.0,0.0,59.0,22.0,0.0,24.22,0.0,0.0,19.0,0.0,3.0,0.0,28.0,338.0,1.0,0.0,21.0,5.0,18.0,10.0,1.0,8.0,0.0,0.0,3.0,51.0
84,4.0,3.0,61.0,62.0,15.0,0.0,35.92,0.0,0.0,21.0,0.0,0.0,26.0,23.0,336.0,0.0,2.0,17.0,4.0,15.0,10.0,1.0,6.0,0.0,0.0,4.0,48.0
85,6.0,6.0,0.0,63.0,15.0,0.0,28.62,0.0,0.0,17.0,0.0,0.0,18.0,27.0,397.0,0.0,0.0,29.0,4.0,19.0,11.0,2.0,8.0,0.0,0.0,1.0,46.0
86,1.0,5.0,0.0,61.0,24.0,-1.0,22.89,0.0,0.0,27.0,0.0,0.0,18.0,10.0,409.0,0.0,1.0,20.0,2.0,14.0,9.0,1.0,3.0,0.0,0.0,1.0,49.0
87,8.0,5.0,0.0,64.0,12.0,-3.0,30.05,0.0,0.0,22.0,0.0,0.0,0.0,32.0,424.0,0.0,0.0,10.0,5.0,18.0,8.0,1.0,8.0,0.0,0.0,4.0,40.0
88,6.0,2.0,0.0,60.0,15.0,0.0,25.29,0.0,0.0,24.0,0.0,0.0,0.0,34.0,407.0,0.0,0.0,27.0,5.0,12.0,11.0,3.0,7.0,0.0,0.0,4.0,48.0
89,4.0,3.0,0.0,61.0,22.0,0.0,31.8,0.0,0.0,18.0,0.0,0.0,0.0,27.0,462.0,0.0,1.0,37.0,2.0,12.0,10.0,3.0,7.0,0.0,0.0,2.0,42.0
90,3.0,10.0,0.0,61.0,13.0,0.0,20.36,0.0,0.0,25.0,4.0,0.0,0.0,40.0,433.0,0.0,0.0,34.0,8.0,15.0,10.0,4.0,5.0,0.0,0.0,2.0,38.0
91,5.0,6.0,0.0,63.0,14.0,0.0,30.41,0.0,0.0,22.0,0.0,0.0,17.0,32.0,387.0,0.0,1.0,34.0,6.0,18.0,11.0,2.0,5.0,0.0,0.0,2.0,36.0
92,3.0,7.0,0.0,60.0,26.0,0.0,22.41,0.0,0.0,25.0,0.0,0.0,18.0,21.0,390.0,0.0,0.0,28.0,7.0,18.0,9.0,3.0,5.0,0.0,0.0,4.0,40.0
93,1.0,8.0,0.0,64.0,16.0,0.0,21.66,0.0,0.0,25.0,0.0,0.0,0.0,20.0,367.0,1.0,0.0,12.0,7.0,19.0,9.0,1.0,6.0,0.0,0.0,2.0,52.0
94,2.0,4.0,0.0,63.0,25.0,-2.0,31.3,0.0,0.0,18.0,0.0,0.0,0.0,21.0,356.0,0.0,0.0,26.0,2.0,17.0,12.0,2.0,4.0,0.0,0.0,2.0,36.0
95,9.0,2.0,0.0,59.0,26.0,0.0,37.58,0.0,0.0,27.0,0.0,0.0,0.0,12.0,279.0,0.0,2.0,25.0,5.0,14.0,10.0,4.0,3.0,0.0,0.0,2.0,53.0
96,4.0,10.0,0.0,58.0,29.0,0.0,24.92,0.0,3.0,28.0,0.0,0.0,0.0,30.0,310.0,0.0,0.0,28.0,8.0,12.0,10.0,2.0,7.0,0.0,20.0,2.0,55.0
97,3.0,10.0,0.0,63.0,15.0,-1.0,23.47,0.0,0.0,23.0,0.0,0.0,0.0,19.0,419.0,0.0,1.0,20.0,2.0,17.0,9.0,1.0,4.0,0.0,0.0,1.0,36.0
98,4.0,2.0,0.0,59.0,20.0,0.0,36.15,0.0,8.0,23.0,0.0,0.0,0.0,17.0,324.0,0.0,1.0,13.0,6.0,18.0,9.0,2.0,4.0,0.0,0.0,4.0,53.0
99,1.0,4.0,0.0,63.0,24.0,0.0,31.63,0.0,3.0,20.0,0.0,0.0,0.0,14.0,437.0,1.0,2.0,35.0,5.0,12.0,8.0,3.0,2.0,0.0,0.0,4.0,41.0
100,3.0,5.0,0.0,62.0,15.0,0.0,35.04,4.91,0.0,17.0,0.0,0.0,0.0,26.0,300.0,0.0,2.0,28.0,7.0,13.0,12.0,1.0,6.0,0.0,0.0,4.0,48.0
101,10.0,5.0,0.0,62.0,16.0,0.0,39.45,0.0,0.0,27.0,0.0,0.0,11.0,27.0,357.0,0.0,0.0,29.0,2.0,19.0,9.0,4.0,5.0,0.0,0.0,2.0,41.0
102,10.0,6.0,0.0,59.0,13.0,0.0,22.8,0.0,0.0,27.0,0.0,0.0,30.0,32.0,387.0,0.0,1.0,36.0,4.0,15.0,12.0,4.0,2.0,0.0,10.0,2.0,50.0
103,1.0,6.0,0.0,59.0,17.0,0.0,23.57,0.0,0.0,27.0,0.0,0.0,0.0,23.0,374.0,0.0,2.0,38.0,7.0,15.0,12.0,1.0,8.0,0.0,0.0,2.0,54.0
104,9.0,3.0,0.0,63.0,15.0,0.0,36.3,6.1,0.0,24.0,0.0,0.0,0.0,40.0,330.0,0.0,0.0,17.0,4.0,19.0,11.0,3.0,3.0,0.0,0.0,1.0,43.0
105,6.0,4.0,0.0,64.0,25.0,0.0,33.28,0.0,0.0,18.0,0.0,0.0,27.0,22.0,308.0,0.0,0.0,13.0,5.0,14.0,12.0,2.0,5.0,0.0,0.0,2.0,44.0
106,3.0,1.0,0.0,64.0,18.0,0.0,23.32,0.0,7.0,27.0,0.0,0.0,0.0,34.0,385.0,0.0,0.0,11.0,7.0,17.0,10.0,3.0,4.0,0.0,0.0,4.0,39.0
107,6.0,4.0,0.0,58.0,22.0,0.0,25.45,0.0,0.0,25.0,0.0,0.0,0.0,11.0,333.0,0.0,1.0,19.0,4.0,15.0,9.0,3.0,3.0,0.0,0.0,1.0,37.0
108,7.0,5.0,0.0,59.0,28.0,0.0,22.98,0.0,0.0,22.0,0.0,0.0,24.0,37.0,374.0,0.0,2.0,35.0,4.0,14.0,10.0,3.0,5.0,0.0,0.0,3.0,34.0
109,9.0,9.0,0.0,62.0,17.0,0.0,38.59,0.0,0.0,20.0,0.0,0.0,0.0,35.0,457.0,1.0,0.0,27.0,3.0,14.0,9.0,2.0,6.0,0.0,0.0,4.0,36.0
110,6.0,2.0,0.0,64.0,12.0,0.0,38.03,0.0,0.0,19.0,7.0,0.0,0.0,15.0,414.0,0.0,0.0,40.0,8.0,18.0,8.0,3.0,7.0,0.0,0.0,1.0,47.0
111,2.0,5.0,0.0,64.0,16.0,0.0,28.87,0.0,0.0,24.0,0.0,0.0,29.0,38.0,284.0,0.0,2.0,35.0,8.0,14.0,9.0,4.0,7.0,0.0,0.0,1.0,42.0
112,5.0,3.0,0.0,64.0,32.0,0.0,27.25,0.0,0.0,27.0,0.0,0.0,0.0,23.0,339.0,0.0,1.0,27.0,3.0,12.0,11.0,1.0,5.0,0.0,0.0,1.0,45.0
113,2.0,10.0,50.0,62.0,24.0,0.0,24.61,0.0,0.0,17.0,0.0,0.0,0.0,27.0,342.0,0.0,0.0,12.0,5.0,16.0,8.0,3.0,5.0,0.0,0.0,2.0,34.0
114,10.0,8.0,59.0,61.0,19.0,0.0,34.75,0.0,0.0,27.0,0.0,0.0,19.0,20.0,341.0,0.0,2.0,22.0,6.0,19.0,12.0,2.0,6.0,0.0,0.0,1.0,35.0
115,10.0,8.0,0.0,59.0,32.0,0.0,37.79,0.0,0.0,22.0,0.0,0.0,18.0,34.0,362.0,0.0,0.0,32.0,2.0,12.0,11.0,3.0,7.0,0.0,0.0,3.0,39.0
116,2.0,6.0,0.0,63.0,26.0,0.0,27.11,0.0,0.0,22.0,0.0,0.0,21.0,34.0,343.0,0.0,2.0,20.0,7.0,13.0,11.0,3.0,4.0,0.0,0.0,3.0,46.0
117,7.0,4.0,0.0,62.0,24.0,0.0,33.56,0.0,0.0,28.0,0.0,0.0,0.0,38.0,259.0,0.0,1.0,33.0,8.0,19.0,12.0,3.0,7.0,0.0,0.0,4.0,47.0
118,3.0,3.0,0.0,62.0,30.0,0.0,20.43,0.0,0.0,27.0,0.0,0.0,0.0,14.0,394.0,0.0,0.0,23.0,7.0,12.0,12.0,3.0,2.0,0.0,0.0,4.0,52.0
119,8.0,10.0,0.0,61.0,30.0,0.0,32.7,0.0,0.0,26.0,0.0,0.0,0.0,17.0,312.0,0.0,2.0,32.0,5.0,19.0,9.0,3.0,2.0,0.0,0.0,4.0,46.0
120,5.0,7.0,0.0,64.0,19.0,0.0,23.67,0.0,0.0,26.0,0.0,0.0,0.0,28.0,422.0,0.0,0.0,34.0,3.0,12.0,11.0,3.0,8.0,0.0,0.0,4.0,39.0
121,4.0,7.0,0.0,61.0,12.0,0.0,25.2,0.0,0.0,25.0,0.0,0.0,15.0,10.0,270.0,0.0,2.0,26.0,4.0,12.0,8.0,3.0,7.0,0.0,0.0,4.0,42.0
122,1.0,6.0,0.0,58.0,31.0,0.0,31.3,0.0,0.0,22.0,0.0,0.0,0.0,20.0,383.0,0.0,0.0,19.0,5.0,15.0,9.0,1.0,6.0,0.0,0.0,4.0,54.0
